emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees
,NA,WA,MORTGAGE,85000,Verified,16.24,NA,,NA,1,13,1995,3,26,12,240500,27846,0,0,11,0,0,1,4,0,11,NA,0,4,14150,16,9,5,2,77,0,0,debt_consolidation,individual,18000,60,11.99,400.31,B,B5,Jan-18,Current,whole,Cash,16875.45,1977.57,1124.55,853.02,0
"manager, branch services",3,CO,MORTGAGE,82416,Verified,19.06,NA,,NA,0,NA,2006,2,37,22,253672,110542,0,0,NA,0,0,9,2,4,22,0,0,6,18500,19,11,9,2,100,0,0,home_improvement,individual,30000,36,15.05,1040.7,C,C4,Feb-18,Current,fractional,Cash,27291.78,4137.72,2708.22,1429.5,0
city carrier,10,CA,RENT,62000,Source Verified,29.87,NA,,NA,0,NA,2005,3,27,18,91692,33313,0,0,NA,0,0,2,8,1,18,0,0,10,47600,22,16,13,0,100,0,0,debt_consolidation,individual,30000,60,13.59,691.69,C,C2,Jan-18,Current,whole,DirectPay,28199.99,3435.8,1800.01,1635.79,0
golf course supt,10,SC,MORTGAGE,95000,Source Verified,18.47,NA,,NA,0,NA,1995,0,19,6,323589,47467,0,0,NA,0,0,3,2,23,6,0,0,2,41000,10,2,2,4,100,0,0,debt_consolidation,individual,37000,60,10.42,793.81,B,B3,Jan-18,Current,whole,Cash,34595.98,3947.63,2404.02,1543.61,0
national sales manager,0,NY,MORTGAGE,85000,Not Verified,7.92,NA,,NA,0,NA,2002,1,24,6,53943,25336,0,0,NA,0,0,1,2,2,6,0,0,1,24000,17,5,3,5,100,0,0,debt_consolidation,individual,23000,60,9.92,487.78,B,B2,Mar-18,Current,whole,Cash,22099.66,1450.66,900.34,550.32,0
appraiser,0,UT,RENT,24000,Not Verified,17.65,NA,,NA,0,58,2006,0,21,6,23200,13415,0,0,58,0,0,0,2,NA,6,0,0,4,19200,7,6,5,8,80,0,0,debt_consolidation,individual,10000,36,10.41,324.61,B,B3,Mar-18,Current,fractional,Cash,9280.21,968.05,719.79,248.26,0
cook,10,FL,OWN,42780,Source Verified,21.6,NA,,NA,0,NA,2000,1,14,8,56600,15359,0,0,NA,0,524,2,6,3,8,0,0,2,11800,9,6,3,0,100,0,0,debt_consolidation,individual,20000,60,18.06,508.53,D,D2,Jan-18,Current,whole,Cash,19150.95,2014.05,849.05,1165,0
client relations manager,10,CT,RENT,63000,Source Verified,13.11,NA,,NA,0,NA,2003,2,31,22,73117,28831,0,1,NA,0,0,1,9,1,22,0,0,5,30700,26,20,6,1,100,0,1,debt_consolidation,individual,21000,36,11.99,697.41,B,B5,Jan-18,Current,whole,Cash,18512.98,3563.99,2487.02,1076.97,0
,NA,LA,MORTGAGE,27000,Source Verified,17.56,NA,,NA,0,40,1986,0,9,5,17400,12400,0,0,40,0,0,0,2,20,5,0,0,3,13000,9,5,5,0,88.9,0,0,debt_consolidation,individual,8400,36,20.39,313.85,D,D4,Mar-18,Current,whole,Cash,8054.85,637.22,345.15,292.07,0
personal banker ,2,FL,MORTGAGE,55000,Source Verified,11.5,NA,,NA,0,24,2012,5,16,11,230889,32952,0,0,NA,0,0,2,10,9,11,0,0,2,11400,10,8,2,1,93.8,0,0,debt_consolidation,individual,16000,60,18.06,406.82,D,D2,Feb-18,Current,whole,Cash,15320.78,1587.15,679.22,907.93,0
,NA,FL,RENT,69000,Source Verified,22.43,NA,,NA,0,43,2000,0,27,13,73031,48611,0,0,NA,0,0,1,1,NA,13,0,0,5,23600,20,12,6,0,81.5,0,0,debt_consolidation,individual,22000,60,19.03,571.06,D,D3,Feb-18,Current,whole,Cash,21091.26,2260.98,908.74,1352.24,0
paraeducator,3,WA,RENT,27000,Source Verified,33.16,54000,Source Verified,23.82,0,NA,2006,1,7,6,71850,34750,0,0,NA,0,0,1,2,12,6,0,0,1,31300,5,5,3,0,100,0,0,debt_consolidation,joint,23000,60,15.05,547.78,C,C4,Jan-18,Current,whole,Cash,21700.83,2416.51,1299.17,1117.34,0
foreman,6,MI,MORTGAGE,65000,Source Verified,18.78,112000,Source Verified,15.87,2,4,2004,3,20,8,132026,14436,0,0,61,0,0,2,3,2,8,0,0,3,4300,11,5,4,1,60,0,0,vacation,joint,7200,36,23.87,281.99,E,E2,Mar-18,Current,fractional,Cash,6775.35,826.87,424.65,402.22,0
supervisor,9,MD,MORTGAGE,87500,Not Verified,20.88,NA,,NA,0,NA,2006,0,14,11,242009,48506,0,0,NA,0,0,4,7,14,11,0,0,3,20500,7,6,3,1,92.9,0,0,home_improvement,individual,8000,36,13.58,271.8,C,C2,Mar-18,Current,whole,Cash,7635.41,549.64,364.59,185.05,0
executive pastor ,10,AL,MORTGAGE,45000,Source Verified,24.24,NA,,NA,0,NA,2008,1,29,25,84324,33590,0,0,NA,0,0,2,10,0,25,0,0,7,39000,23,23,10,0,100,0,0,debt_consolidation,individual,14000,60,14.07,326.27,C,C3,Mar-18,Current,whole,Cash,13673.86,641.6,326.14,315.46,0
fire captain ,10,CA,MORTGAGE,793000,Source Verified,2.97,NA,,NA,0,NA,2013,11,14,12,134320,96419,0,2,NA,0,0,3,10,2,12,0,0,0,24300,11,9,1,0,100,0,2,other,individual,35000,60,18.06,889.92,D,D2,Feb-18,Current,whole,Cash,33514.2,3524.56,1485.8,2038.76,0
warehouse ,0,TN,MORTGAGE,37440,Source Verified,10.26,NA,,NA,0,NA,2008,0,8,4,101800,13569,0,0,NA,0,0,0,2,19,4,0,0,3,18800,3,3,3,2,100,0,0,credit_card,individual,11000,36,10.9,359.61,B,B4,Mar-18,Current,whole,Cash,10213.82,1072.17,786.18,285.99,0
heavy equipment operated ,4,AK,MORTGAGE,78000,Verified,26.75,NA,,NA,1,9,2000,1,36,15,350073,108015,0,0,NA,0,0,8,4,6,15,0,0,3,19400,11,6,4,1,94.3,0,0,debt_consolidation,individual,12500,60,7.97,253.28,A,A5,Jan-18,Current,whole,DirectPay,11637.32,1260.87,862.68,398.19,0
driver,10,IL,MORTGAGE,68000,Source Verified,50.75,213000,,21.46,0,NA,2002,0,13,7,150047,84799,0,0,NA,0,0,4,0,14,7,0,0,2,41500,6,3,2,2,100,0,0,debt_consolidation,joint,20000,36,5.32,602.3,A,A1,Feb-18,Current,fractional,DirectPay,17932.68,2403.29,2067.32,335.97,0
,NA,OH,MORTGAGE,36000,Source Verified,23.72,NA,,NA,0,26,1992,11,32,10,58799,34369,0,0,26,0,0,1,5,3,10,0,0,3,28400,16,9,3,8,84.4,0,0,debt_consolidation,individual,18000,60,13.59,415.02,C,C2,Feb-18,Current,whole,Cash,17140.86,1646.49,859.14,787.35,0
package handler ,1,IN,RENT,30000,Source Verified,4.96,NA,,NA,0,NA,2012,9,19,11,38600,4220,0,0,NA,0,4032,0,11,1,11,0,0,1,18000,15,11,3,0,100,0,0,debt_consolidation,individual,7200,36,20,267.58,D,D4,Feb-18,Current,whole,Cash,6594.76,1062.32,605.24,457.08,0
clerk,3,MN,MORTGAGE,40000,Not Verified,6,NA,,NA,0,61,2005,2,22,8,67555,6216,0,0,NA,0,0,0,6,5,8,0,0,2,6700,10,7,6,2,90.9,0,0,debt_consolidation,individual,1000,36,9.93,32.24,B,B2,Jan-18,Current,whole,Cash,878.18,160.65,121.82,38.83,0
cardiac sonographer,0,NC,MORTGAGE,55000,Source Verified,7.2,NA,,NA,0,NA,2006,2,25,6,266379,42869,0,0,NA,0,0,1,3,6,6,0,0,2,9300,12,4,2,2,100,0,0,debt_consolidation,individual,11000,60,11.99,244.64,B,B5,Feb-18,Current,whole,Cash,10452.94,971.23,547.06,424.17,0
program development director,5,CA,RENT,84500,Not Verified,22.64,120600,Not Verified,17.3,0,69,2003,0,26,11,111470,78673,0,1,69,0,0,9,3,13,11,0,0,1,12500,9,2,2,0,95.7,0,1,debt_consolidation,joint,17000,36,6.72,522.74,A,A3,Jan-18,Current,whole,Cash,14838.22,2601.01,2161.78,439.23,0
nurse,7,PA,OWN,100000,Verified,35.32,NA,,NA,1,23,1998,7,46,22,182878,108791,0,1,69,0,1189,4,9,1,22,0,0,3,14500,37,18,4,0,93.5,1,0,debt_consolidation,individual,22325,36,19.03,818.69,D,D3,Jan-18,Current,whole,Cash,19926.87,4069.85,2398.13,1671.72,0
site superintendent,6,NY,RENT,120000,Verified,8.74,NA,,NA,0,NA,2012,0,14,12,67700,21520,0,0,NA,0,0,1,3,NA,12,0,0,8,50400,12,11,10,0,100,0,0,other,individual,40000,60,11.99,889.58,B,B5,Jan-18,Late (31-120 days),whole,Cash,38515.53,2686.58,1484.47,1157.63,44.48
worker in kitchen,10,PA,MORTGAGE,20000,Verified,17.17,40000,Source Verified,8.58,0,NA,1995,1,27,8,17300,6051,0,1,NA,0,0,0,6,4,8,0,0,1,2500,23,8,5,2,100,0,1,debt_consolidation,joint,10000,36,12.61,335.07,C,C1,Mar-18,Current,fractional,Cash,9537.61,656.13,462.39,193.74,0
associate editor,7,MA,RENT,32000,Source Verified,13.84,NA,,NA,0,29,2001,0,14,4,66145,72596,0,0,48,0,0,1,1,NA,4,0,0,1,2000,6,3,3,0,85.7,0,0,debt_consolidation,individual,7225,36,10.9,236.2,B,B4,Mar-18,Current,whole,Cash,6666.78,751.84,558.22,193.62,0
maintenance ,5,NY,RENT,35000,Source Verified,19.58,NA,,NA,0,NA,2013,0,6,5,22300,12577,0,1,NA,0,0,1,3,14,5,0,0,2,11000,4,4,3,0,100,0,1,debt_consolidation,individual,12000,36,11.98,398.46,B,B5,Mar-18,Current,whole,Cash,11155.65,1151.45,844.35,307.1,0
auditor,6,GA,MORTGAGE,55000,Source Verified,18.67,NA,,NA,0,NA,2012,3,19,16,194350,24931,0,0,NA,0,0,2,12,5,16,0,0,5,16700,15,13,7,1,100,0,0,credit_card,individual,14400,60,10.9,312.38,B,B4,Mar-18,Current,whole,DirectPay,13850.3,928.42,549.7,378.72,0
st john specialist,10,VA,RENT,127563,Not Verified,8.95,NA,,NA,0,NA,1999,0,15,8,97000,26717,0,0,NA,0,0,1,2,19,8,0,0,5,62900,10,7,7,2,100,0,0,debt_consolidation,individual,27000,60,11.99,600.47,B,B5,Feb-18,Current,whole,Cash,25657.26,2383.9,1342.74,1041.16,0
teacher/coach,5,TX,MORTGAGE,50000,Verified,22.2,95000,Source Verified,16.22,1,7,2005,6,13,7,113345,97746,0,0,NA,0,0,3,3,1,7,0,0,1,800,4,4,2,0,91.7,0,0,debt_consolidation,joint,15000,36,15.05,520.35,C,C4,Feb-18,Current,whole,Cash,13296.68,2496.96,1703.32,793.64,0
administrator,10,OH,MORTGAGE,85500,Not Verified,18.96,NA,,NA,3,8,1997,4,32,12,323510,63205,0,0,8,0,0,5,4,0,12,NA,0,3,6000,17,6,6,3,81,0,0,debt_consolidation,individual,10000,36,12.61,335.07,C,C1,Mar-18,Current,whole,Cash,9302.76,1029.73,697.24,332.49,0
technician,0,SC,MORTGAGE,73000,Source Verified,16.13,NA,,NA,1,5,2010,1,17,8,475160,39413,0,0,NA,0,0,3,4,12,8,0,0,0,0,6,3,3,4,94.1,0,0,debt_consolidation,individual,25000,60,14.07,582.62,C,C3,Mar-18,Current,whole,Cash,24121.29,1708.78,878.71,830.07,0
president and ceo,10,OK,MORTGAGE,156000,Source Verified,35.22,NA,,NA,0,60,1990,4,41,17,172231,113317,0,1,60,0,0,6,6,3,17,0,0,6,55500,19,11,7,0,97.6,1,0,home_improvement,individual,15000,36,18.45,545.68,D,D2,Mar-18,Current,fractional,Cash,14040.23,1606.29,959.77,646.52,0
"manager, sales operations",0,IL,MORTGAGE,77000,Verified,18.52,NA,,NA,0,71,2004,5,23,11,402377,53149,0,0,NA,0,0,2,7,2,11,0,0,2,26700,13,8,4,5,95.7,0,0,debt_consolidation,individual,22000,60,9.44,461.4,B,B1,Feb-18,Current,whole,Cash,20832.99,1822.52,1167.01,655.51,0
lpn,3,NC,RENT,42000,Not Verified,20.14,NA,,NA,0,30,1983,4,25,14,52160,25307,0,0,NA,0,0,2,7,5,14,0,0,3,12300,15,12,6,0,80,0,0,debt_consolidation,individual,6000,36,9.92,193.38,B,B2,Feb-18,Current,whole,Cash,5565.08,576.83,434.92,141.91,0
nurse practitioner,10,MI,MORTGAGE,150000,Source Verified,23.23,NA,,NA,0,NA,1993,3,48,26,756528,197380,0,0,NA,0,1643,5,14,3,26,0,0,8,44000,34,20,13,3,100,0,0,debt_consolidation,individual,15000,60,9.44,314.59,B,B1,Feb-18,Current,whole,Cash,14204.31,1297.69,795.69,502,0
owner,10,TX,MORTGAGE,120000,Not Verified,16.3,NA,,NA,0,NA,2003,1,19,11,240934,63235,0,0,NA,0,0,2,7,1,11,0,0,6,41700,9,8,8,2,100,0,0,debt_consolidation,individual,13000,60,12.62,293.27,C,C1,Jan-18,Current,whole,Cash,12200.6,1457.24,799.4,657.84,0
manager,10,MD,MORTGAGE,67000,Verified,26.96,142000,Verified,13.27,0,24,1998,5,20,8,447873,90551,0,0,24,0,0,4,5,1,8,0,0,2,9000,10,3,2,2,78.9,0,0,home_improvement,joint,35000,36,23.87,1370.77,E,E2,Mar-18,Current,fractional,Cash,32935.79,4065.9,2064.21,2001.69,0
warranty administrator ,1,IL,RENT,43000,Verified,0.7,NA,,NA,0,NA,2014,1,6,4,12200,752,0,0,NA,0,0,0,4,1,4,0,0,0,10000,6,4,1,0,100,0,0,major_purchase,individual,16000,36,7.96,501.09,A,A5,Mar-18,Current,fractional,Cash,14807.25,1496.19,1192.75,303.44,0
therapist ,3,NJ,OWN,78000,Source Verified,28.45,NA,,NA,0,66,2000,0,41,23,310420,241595,0,1,66,0,0,7,8,14,23,0,0,7,79400,18,16,10,0,85.4,0,1,credit_card,individual,18000,36,10.91,588.54,B,B4,Jan-18,Current,fractional,Cash,15836.57,2915.42,2163.43,751.99,0
engineer,1,GA,RENT,80000,Source Verified,11.03,NA,,NA,0,NA,2012,0,10,9,141379,29877,0,0,NA,0,0,1,1,NA,9,0,0,4,105000,8,8,4,0,100,0,0,major_purchase,individual,40000,36,5.32,1204.6,A,A1,Jan-18,Current,whole,Cash,34817.92,5993.44,5182.08,811.36,0
accounting ar,10,AL,RENT,40000,Source Verified,15.24,NA,,NA,0,NA,2008,1,19,9,25100,14336,0,1,NA,0,0,1,4,1,9,0,0,1,1000,17,8,5,0,100,0,1,debt_consolidation,individual,16000,60,16.01,389.18,C,C5,Mar-18,Current,whole,Cash,15465.79,1210.24,534.21,676.03,0
technical account manager,9,CO,OWN,96000,Verified,16.04,NA,,NA,0,NA,2006,2,20,12,415461,35285,0,1,NA,0,0,0,7,5,12,0,0,6,32300,13,10,10,3,100,0,1,debt_consolidation,individual,30000,60,17.09,747.03,D,D1,Feb-18,Current,whole,Cash,28693.29,3016.6,1306.71,1709.89,0
,NA,CA,MORTGAGE,99000,Verified,10.47,173140,Verified,11.64,0,NA,1991,4,25,11,1041100,33449,0,0,NA,0,0,1,5,0,11,0,0,1,86700,17,8,2,7,100,0,0,home_improvement,joint,35000,36,6.08,1066.04,A,A2,Feb-18,Current,fractional,Cash,32320.34,3198.13,2679.66,518.47,0
,NA,OH,MORTGAGE,15000,Source Verified,103.52,100200,Source Verified,15.86,0,NA,2010,1,24,10,204926,63684,0,1,NA,0,0,3,3,8,10,0,0,3,13800,10,5,4,5,100,0,1,debt_consolidation,joint,14400,60,24.85,421.4,E,E3,Feb-18,Current,whole,Cash,13891.68,1645.84,508.32,1137.52,0
operations project analyst,10,CA,RENT,75000,Not Verified,30.75,NA,,NA,0,30,1999,0,23,11,111538,52200,0,0,30,0,0,8,1,15,11,0,0,1,27600,8,3,1,0,95.5,0,0,debt_consolidation,individual,25000,60,9.44,524.32,B,B1,Jan-18,Current,whole,Cash,23335.75,2608.49,1664.25,944.24,0
,NA,MA,RENT,31000,Not Verified,34.38,NA,,NA,0,48,1998,2,24,10,45964,16870,0,0,48,0,0,3,4,6,10,0,0,2,18800,15,7,3,2,87.5,0,0,major_purchase,individual,9600,36,9.93,309.45,B,B2,Jan-18,Current,whole,Cash,8430.75,1573.73,1169.25,404.48,0
owner,4,NY,MORTGAGE,85000,Not Verified,11.25,NA,,NA,2,10,2002,3,31,15,52032,21136,0,0,NA,0,0,1,6,3,15,0,0,1,21400,30,14,4,0,83.9,0,0,credit_card,individual,12000,36,15.04,416.22,C,C4,Mar-18,Current,whole,Cash,11465.03,812.39,534.97,277.42,0
rn,5,IL,OWN,48000,Source Verified,33.93,NA,,NA,0,NA,1995,0,14,7,78514,57191,0,0,NA,0,0,2,1,18,7,0,0,5,46100,8,5,5,0,100,0,0,debt_consolidation,individual,25000,60,19.03,648.93,D,D3,Jan-18,Current,whole,Cash,23965.84,2569.29,1034.16,1535.13,0
director,10,CA,MORTGAGE,135000,Not Verified,0,NA,,NA,0,64,2001,2,18,4,833600,0,0,0,NA,0,0,0,2,1,4,0,0,0,20600,11,3,0,3,100,0,0,debt_consolidation,individual,24000,60,9.92,508.99,B,B2,Mar-18,Current,whole,Cash,22958.93,1600.52,1041.07,559.45,0
it manager,10,WA,MORTGAGE,90000,Not Verified,36.16,NA,,NA,0,44,2002,0,46,19,369078,87468,0,0,NA,0,0,3,5,19,19,0,0,3,26500,30,15,7,3,97.8,0,0,debt_consolidation,individual,21000,60,10.42,450.55,B,B3,Jan-18,Current,whole,Cash,19635.51,2240.59,1364.49,876.1,0
,NA,CA,MORTGAGE,12000,Not Verified,52.7,102000,Not Verified,26.44,0,72,1988,0,11,6,155200,8538,0,0,72,0,0,0,1,NA,6,0,0,2,14500,6,5,3,1,90.9,0,0,major_purchase,joint,30000,60,11.98,667.04,B,B5,Mar-18,Current,whole,Cash,28886.33,2031.08,1113.67,917.41,0
accounting clerk,5,PA,MORTGAGE,48712,Not Verified,4.48,NA,,NA,0,101,1994,0,8,5,188403,56090,0,0,101,0,0,2,4,NA,5,0,0,1,1500,5,2,2,1,87.5,0,0,debt_consolidation,individual,30000,60,28.72,947.15,F,F1,Mar-18,Current,whole,Cash,29295.97,2793.58,704.03,2089.55,0
,NA,NM,OWN,40000,Verified,47.13,122500,Verified,21.1,0,36,2002,0,20,16,94392,56881,0,0,NA,0,0,8,3,16,16,0,0,3,24300,9,8,7,0,95,0,0,other,joint,1600,36,21.45,60.66,D,D5,Jan-18,Current,whole,Cash,1434.25,298.53,165.75,132.78,0
retail sales consultant,4,NY,RENT,55000,Not Verified,11.87,NA,,NA,0,NA,2007,0,26,20,50100,26926,0,0,NA,0,0,5,3,NA,20,0,0,9,33300,19,15,11,0,80.8,0,0,debt_consolidation,individual,18000,60,12.62,406.07,C,C1,Jan-18,Current,whole,Cash,16893.11,1998.8,1106.89,891.91,0
emergency technician ,10,CA,MORTGAGE,70000,Source Verified,12.29,NA,,NA,0,NA,2002,2,35,21,295506,24485,0,1,NA,0,0,0,10,0,21,0,0,9,49800,30,20,10,2,100,0,1,debt_consolidation,individual,4000,36,14.07,136.85,C,C3,Mar-18,Current,whole,Cash,3726.97,407.42,273.03,134.39,0
accountant,2,TX,RENT,47700,Not Verified,7.68,67700,Not Verified,10.06,0,NA,2013,2,14,13,38500,21242,0,0,NA,0,0,6,5,2,13,0,0,2,7800,7,7,3,0,100,0,0,debt_consolidation,joint,10000,36,10.9,326.92,B,B4,Mar-18,Current,whole,Cash,9285.29,974.7,714.71,259.99,0
nurse practitioner,2,OH,MORTGAGE,110000,Verified,28.29,NA,,NA,1,20,2005,2,53,13,504510,172266,0,0,NA,0,0,4,4,1,13,0,0,3,27000,27,8,6,6,96.2,0,0,credit_card,individual,30000,60,26.77,911.95,E,E5,Mar-18,In Grace Period,fractional,Cash,29509.18,2044.47,490.82,1553.65,0
bus driver,3,FL,RENT,21000,Source Verified,8.11,NA,,NA,0,29,2013,1,7,6,2500,279,0,0,NA,0,0,0,6,9,6,0,0,5,1900,6,6,5,0,85.7,0,0,debt_consolidation,individual,3000,36,16.01,105.49,C,C5,Mar-18,Late (16-30 days),whole,Cash,2868.2,208.31,131.8,76.51,0
"assistant director, budget & finance",0,TN,MORTGAGE,91000,Source Verified,22.31,NA,,NA,0,NA,1983,2,33,13,439313,94160,0,0,NA,0,0,3,2,6,13,0,0,5,80000,20,9,5,3,100,0,0,credit_card,individual,40000,36,5.32,1204.6,A,A1,Feb-18,Current,whole,DirectPay,35863.53,4806.58,4136.47,670.11,0
security ,1,TN,RENT,36000,Source Verified,3.34,NA,,NA,1,12,2014,0,6,4,5700,1961,0,0,NA,0,0,0,4,15,4,0,0,2,1700,4,4,4,0,83.3,0,0,debt_consolidation,individual,12000,36,11.99,398.52,B,B5,Jan-18,Current,whole,Cash,10578.78,1972.62,1421.22,551.4,0
sales,10,CA,MORTGAGE,220000,Source Verified,17.69,NA,,NA,0,NA,1991,0,15,11,357216,147555,0,0,NA,0,364,5,1,NA,11,0,0,3,66500,7,5,5,2,100,0,0,debt_consolidation,individual,20400,36,6.08,621.35,A,A2,Jan-18,Current,whole,Cash,17783.67,3099.86,2616.33,483.53,0
owner,0,FL,MORTGAGE,200000,Verified,14.45,NA,,NA,1,23,2005,1,32,15,602835,287290,0,0,NA,0,0,2,5,3,15,0,0,5,54300,19,12,9,3,96.9,0,0,other,individual,35000,36,9.43,1120.01,B,B1,Feb-18,Current,whole,Cash,31580.08,4461.7,3419.92,1041.78,0
delivery driver,0,MN,RENT,60000,Not Verified,12.8,NA,,NA,0,NA,2006,3,16,6,28818,15676,0,0,NA,0,0,2,1,8,6,0,0,2,11000,6,4,2,0,100,0,0,credit_card,individual,9600,36,11.99,318.82,B,B5,Jan-18,Current,whole,Cash,8463,1587.71,1137,450.71,0
attorney at law,8,CA,RENT,100000,Verified,28.24,NA,,NA,0,81,1999,1,24,13,169235,139788,0,0,81,0,584,6,2,1,13,0,0,2,28000,7,5,3,0,95.8,0,0,small_business,individual,30000,60,14.07,699.14,C,C3,Mar-18,Current,whole,Cash,28945.56,2073.97,1054.44,1019.53,0
production artist/retoucher,1,WA,RENT,75000,Not Verified,6.29,NA,,NA,0,NA,1997,1,12,6,25500,12429,0,0,NA,0,0,1,1,7,6,0,0,2,10400,9,5,3,0,100,0,0,debt_consolidation,individual,12000,60,10.42,257.46,B,B3,Feb-18,Current,whole,Cash,11378.93,1022.89,621.07,401.82,0
accountant,10,TX,MORTGAGE,55000,Not Verified,22.67,NA,,NA,0,NA,1994,5,33,19,263545,49424,0,0,NA,0,0,2,7,5,19,0,0,2,11200,23,16,8,1,100,0,0,debt_consolidation,individual,4200,36,10.9,137.31,B,B4,Mar-18,Current,whole,Cash,3899.81,406.84,300.19,106.65,0
distribution,8,GA,MORTGAGE,65000,Not Verified,20.66,NA,,NA,0,NA,2004,0,10,6,241361,33852,0,0,NA,0,0,2,1,20,6,0,0,1,21000,2,2,2,3,100,0,0,debt_consolidation,individual,20000,60,9.93,424.26,B,B2,Feb-18,Current,whole,Cash,18952.04,1686.01,1047.96,638.05,0
films clerk,10,TX,MORTGAGE,59000,Source Verified,25.94,NA,,NA,0,NA,2002,2,9,7,256728,68598,0,0,NA,0,0,2,4,7,7,0,0,2,37000,4,4,2,1,100,0,0,medical,individual,6300,36,7.35,195.54,A,A4,Feb-18,Current,whole,Cash,5666.4,779.59,633.6,145.99,0
forklift operator,4,CA,MORTGAGE,50000,Not Verified,12.67,NA,,NA,0,NA,2012,9,19,13,362235,20414,0,0,NA,0,0,1,6,4,13,0,0,3,23200,13,11,3,2,100,0,0,debt_consolidation,individual,14000,36,10.91,457.75,B,B4,Jan-18,Current,whole,Cash,8256.52,6280.26,5743.48,536.78,0
owner ,6,MO,MORTGAGE,60000,Verified,19.64,NA,,NA,0,NA,2007,1,12,5,147430,31708,0,0,NA,0,5264,1,3,4,5,0,0,1,6000,6,2,2,2,100,0,0,home_improvement,individual,35000,60,21.45,955.75,D,D5,Jan-18,Current,whole,Cash,33289.3,4737.04,1710.7,3026.34,0
,NA,NY,OWN,44100,Source Verified,10.69,NA,,NA,0,NA,1972,1,20,16,81050,30834,0,0,NA,0,0,1,5,4,16,0,0,6,46400,15,14,7,2,100,0,0,debt_consolidation,individual,18000,36,6.08,548.25,A,A2,Jan-18,Current,whole,Cash,15691.48,2735.17,2308.52,426.65,0
systems analyst,6,CT,RENT,90000,Source Verified,10.33,NA,,NA,0,NA,2012,0,6,4,38622,33267,0,0,NA,0,0,2,2,NA,4,0,0,1,10900,3,2,2,0,100,0,0,debt_consolidation,individual,17000,60,18.45,435.87,D,D2,Mar-18,Current,whole,Cash,16468.43,1325.04,531.57,793.47,0
executive director,1,FL,MORTGAGE,112000,Not Verified,20.56,NA,,NA,0,69,1998,2,49,23,132245,75446,0,0,NA,0,0,6,4,5,23,0,0,6,37700,25,17,13,3,98,0,0,debt_consolidation,individual,20000,36,25.82,803.9,E,E4,Feb-18,Current,fractional,Cash,18456.81,3158.22,1543.19,1615.03,0
registered nurse,10,SD,MORTGAGE,54000,Not Verified,12.82,NA,,NA,1,15,1999,2,28,9,31800,6812,0,0,NA,0,0,2,5,1,9,0,0,1,10100,23,7,2,0,96.4,0,0,credit_card,individual,3800,36,9.43,121.61,B,B1,Mar-18,Current,whole,Cash,3522.59,360.85,277.41,83.44,0
vice president,6,CA,RENT,140000,Not Verified,10.38,NA,,NA,0,47,2011,0,18,14,83274,41888,0,0,NA,0,0,1,2,22,14,0,0,8,42500,14,12,9,0,94.4,0,0,debt_consolidation,individual,30000,36,10.91,980.89,B,B4,Jan-18,Current,whole,Cash,27128.58,3905.38,2871.42,1033.96,0
,NA,NY,MORTGAGE,52680,Verified,23.51,71978,Verified,21.34,0,NA,1972,5,31,11,288670,42667,0,0,NA,0,0,2,9,5,11,0,0,5,24700,15,8,7,6,100,0,0,debt_consolidation,joint,19950,60,30.17,647.54,F,F3,Jan-18,Late (31-120 days),whole,Cash,19804.03,614.1,145.97,468.13,0
hotel manager,4,IN,OWN,90000,Source Verified,10.27,NA,,NA,0,NA,2006,2,15,10,72136,23352,0,0,NA,0,874,2,3,1,10,0,0,1,33500,8,7,4,0,100,0,0,debt_consolidation,individual,40000,60,11.99,889.58,B,B5,Feb-18,Current,whole,Cash,26957.82,14531.68,13042.18,1489.5,0
,10,MD,MORTGAGE,100000,Verified,18.4,NA,,NA,2,11,2002,2,10,6,363816,40133,0,1,55,0,0,3,2,4,6,0,0,2,9900,4,2,2,2,70,1,0,debt_consolidation,individual,18000,36,7.97,563.81,A,A5,Jan-18,Current,whole,Cash,15749.4,2811.08,2250.6,560.48,0
line driver,1,UT,MORTGAGE,60000,Verified,29.72,NA,,NA,0,NA,2006,5,24,20,313208,109277,0,0,NA,0,0,8,16,1,20,0,0,4,40800,10,10,6,2,100,0,0,debt_consolidation,individual,15000,60,15.04,357.17,C,C4,Mar-18,Current,whole,Cash,14659.54,701.81,340.46,361.35,0
